"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2020","8,957.83","10,141.92","10,141.92","8,921.90","","-11.68%"
"03/11/2020","10,141.92","10,264.12","10,486.14","10,086.70","","-1.19%"
"03/10/2020","10,264.12","10,273.78","10,688.73","10,213.50","","-0.09%"
"03/09/2020","10,273.78","11,157.96","11,157.96","10,150.15","","-7.92%"
"03/06/2020","11,157.96","11,667.25","11,667.25","11,057.00","","-4.37%"
"03/05/2020","11,667.25","11,964.70","12,098.54","11,592.51","","-2.49%"
"03/04/2020","11,964.70","11,900.80","12,094.95","11,840.55","","0.54%"
"03/03/2020","11,900.80","11,709.09","12,087.62","11,709.09","","1.64%"
"03/02/2020","11,709.09","11,654.80","12,030.39","11,456.62","","0.47%"
"02/28/2020","11,654.80","12,042.57","12,042.57","11,464.85","","-3.22%"
"02/27/2020","12,042.57","12,579.32","12,579.32","11,910.03","","-4.27%"
"02/26/2020","12,579.32","12,588.00","12,589.61","12,104.53","","-0.07%"
"02/25/2020","12,588.00","12,856.87","12,985.37","12,564.38","","-2.09%"
"02/24/2020","12,856.87","13,307.30","13,307.30","12,743.07","","-3.38%"
"02/21/2020","13,307.30","13,320.92","13,419.96","13,232.01","","-0.10%"
"02/20/2020","13,320.92","13,402.36","13,463.95","13,320.92","","-0.61%"
"02/19/2020","13,402.36","13,178.14","13,402.36","13,178.14","","1.70%"
"02/18/2020","13,178.14","13,233.74","13,235.67","13,099.21","","-0.42%"
"02/17/2020","13,233.74","13,164.46","13,290.59","13,164.46","","0.53%"
"02/14/2020","13,164.46","13,132.05","13,191.64","13,099.36","","0.25%"
"02/13/2020","13,132.05","13,198.59","13,198.59","12,990.64","","-0.50%"
"02/12/2020","13,198.59","13,129.64","13,198.59","13,102.76","","0.53%"
"02/11/2020","13,129.64","13,015.56","13,156.62","13,015.56","","0.88%"
"02/10/2020","13,015.56","13,013.07","13,060.34","12,936.44","","0.02%"
"02/07/2020","13,013.07","13,052.24","13,089.47","12,965.94","","-0.30%"
"02/06/2020","13,052.24","13,083.10","13,223.63","13,037.87","","-0.24%"
"02/05/2020","13,083.10","13,008.23","13,121.98","12,941.14","","0.58%"
"02/04/2020","13,008.23","12,830.95","13,051.88","12,827.03","","1.38%"
"02/03/2020","12,830.95","12,699.21","12,910.36","12,696.64","","1.04%"
"01/31/2020","12,699.21","12,843.71","12,928.83","12,681.82","","-1.13%"
"01/30/2020","12,843.71","12,917.27","12,938.83","12,774.45","","-0.57%"
"01/29/2020","12,917.27","12,752.20","12,924.05","12,752.20","","1.29%"
"01/28/2020","12,752.20","12,633.79","12,784.29","12,603.79","","0.94%"
"01/27/2020","12,633.79","12,982.93","12,982.93","12,628.21","","-2.69%"
"01/24/2020","12,982.93","12,829.37","13,128.60","12,819.74","","1.20%"
"01/23/2020","12,829.37","12,978.08","12,996.63","12,819.73","","-1.15%"
"01/22/2020","12,978.08","12,839.73","12,978.08","12,820.96","","1.08%"
"01/21/2020","12,839.73","12,748.65","12,839.73","12,619.42","","0.71%"
"01/20/2020","12,748.65","12,758.46","12,784.80","12,721.50","","-0.08%"
"01/17/2020","12,758.46","12,642.70","12,780.49","12,640.60","","0.92%"
"01/16/2020","12,642.70","12,670.52","12,733.63","12,582.41","","-0.22%"
"01/15/2020","12,670.52","12,660.63","12,694.23","12,622.89","","0.08%"
"01/14/2020","12,660.63","12,663.00","12,701.45","12,607.37","","-0.02%"
"01/13/2020","12,663.00","12,681.89","12,782.88","12,647.05","","-0.15%"
"01/10/2020","12,681.89","12,799.82","12,845.47","12,681.89","","-0.92%"
"01/09/2020","12,799.82","12,686.83","12,822.39","12,686.83","","0.89%"
"01/08/2020","12,686.83","12,668.92","12,686.83","12,507.38","","0.14%"
"01/07/2020","12,668.92","12,726.82","12,778.33","12,634.81","","-0.45%"
"01/06/2020","12,726.82","12,939.58","12,943.32","12,642.38","","-1.64%"
"01/03/2020","12,939.58","13,035.43","13,035.43","12,803.99","","-0.74%"
"01/02/2020","13,035.43","12,882.20","13,072.61","12,882.20","","1.19%"
"12/31/2019","12,882.20","12,925.20","12,951.78","12,854.85","","-0.33%"
"12/30/2019","12,925.20","12,986.64","12,986.64","12,918.53","","-0.47%"
"12/27/2019","12,986.64","12,938.27","13,011.23","12,938.27","","0.37%"
"12/24/2019","12,938.27","12,905.85","12,938.27","12,886.29","","0.25%"
"12/23/2019","12,905.85","12,800.50","12,959.55","12,786.10","","0.82%"
"12/20/2019","12,800.50","12,736.34","12,847.90","12,721.38","","0.50%"
"12/19/2019","12,736.34","12,716.56","12,753.67","12,657.91","","0.16%"
"12/18/2019","12,716.56","12,720.58","12,745.47","12,665.48","","-0.03%"
"12/17/2019","12,720.58","12,785.43","12,807.30","12,638.91","","-0.51%"
"12/16/2019","12,785.43","12,449.18","12,837.98","12,449.18","","2.70%"
"12/13/2019","12,449.18","12,053.27","12,588.38","12,053.27","","3.28%"
"12/12/2019","12,053.27","11,927.15","12,068.39","11,864.72","","1.06%"
"12/11/2019","11,927.15","11,942.24","11,969.31","11,796.83","","-0.13%"
"12/10/2019","11,942.24","12,016.56","12,016.56","11,847.82","","-0.62%"
"12/09/2019","12,016.56","11,996.72","12,038.62","11,944.22","","0.17%"
"12/06/2019","11,996.72","11,879.53","12,013.37","11,877.67","","0.99%"
"12/05/2019","11,879.53","11,927.14","11,932.98","11,829.96","","-0.40%"
"12/04/2019","11,927.14","11,756.82","11,927.14","11,744.77","","1.45%"
"12/03/2019","11,756.82","11,930.62","11,967.04","11,704.80","","-1.46%"
"12/02/2019","11,930.62","12,061.26","12,104.93","11,900.15","","-1.08%"
"11/29/2019","12,061.26","12,180.63","12,182.16","12,061.26","","-0.98%"
"11/28/2019","12,180.63","12,218.99","12,223.37","12,135.43","","-0.31%"
"11/27/2019","12,218.99","12,130.68","12,231.12","12,081.91","","0.73%"
"11/26/2019","12,130.68","11,962.86","12,143.80","11,962.86","","1.40%"
"11/25/2019","11,962.86","11,811.72","11,981.84","11,811.72","","1.28%"
"11/22/2019","11,811.72","11,716.92","11,837.42","11,710.85","","0.81%"
"11/21/2019","11,716.92","11,815.84","11,816.44","11,617.25","","-0.84%"
"11/20/2019","11,815.84","11,943.74","11,943.74","11,733.62","","-1.07%"
"11/19/2019","11,943.74","11,829.70","12,101.76","11,829.70","","0.96%"
"11/18/2019","11,829.70","11,830.31","11,952.17","11,805.14","","-0.01%"
"11/15/2019","11,830.31","11,833.52","11,904.39","11,712.38","","-0.03%"
"11/14/2019","11,833.52","11,943.94","11,944.73","11,770.25","","-0.92%"
"11/13/2019","11,943.94","12,066.03","12,066.03","11,891.86","","-1.01%"
"11/12/2019","12,066.03","11,958.33","12,112.50","11,918.63","","0.90%"
"11/11/2019","11,958.33","11,930.35","11,958.33","11,780.55","","0.23%"
"11/08/2019","11,930.35","11,948.62","11,976.97","11,861.00","","-0.15%"
"11/07/2019","11,948.62","11,975.08","12,055.54","11,937.82","","-0.22%"
"11/06/2019","11,975.08","12,028.32","12,041.36","11,914.58","","-0.44%"
"11/05/2019","12,028.32","11,990.37","12,080.97","11,970.44","","0.32%"
"11/04/2019","11,990.37","11,899.81","12,047.33","11,899.81","","0.76%"
"11/01/2019","11,899.81","11,796.41","11,942.18","11,796.41","","0.88%"
"10/31/2019","11,796.41","11,923.83","11,969.36","11,796.41","","-1.07%"
"10/30/2019","11,923.83","11,948.16","11,955.87","11,851.83","","-0.20%"
"10/29/2019","11,948.16","11,923.47","11,948.16","11,821.25","","0.21%"
"10/28/2019","11,923.47","11,739.27","11,947.60","11,729.33","","1.57%"
"10/25/2019","11,739.27","11,893.43","11,907.19","11,703.80","","-1.30%"
"10/24/2019","11,893.43","11,743.13","11,932.18","11,743.13","","1.28%"
"10/23/2019","11,743.13","11,771.23","11,771.23","11,649.24","","-0.24%"
"10/22/2019","11,771.23","11,745.30","11,771.23","11,669.01","","0.22%"
"10/21/2019","11,745.30","11,679.95","11,805.19","11,667.06","","0.56%"
"10/18/2019","11,679.95","11,697.79","11,817.29","11,662.40","","-0.15%"
"10/17/2019","11,697.79","11,646.40","11,774.17","11,553.60","","0.44%"
"10/16/2019","11,646.40","11,804.37","11,807.28","11,598.49","","-1.34%"
"10/15/2019","11,804.37","11,680.32","11,878.35","11,661.13","","1.06%"
"10/14/2019","11,680.32","11,812.31","11,814.20","11,634.65","","-1.12%"
"10/11/2019","11,812.31","11,440.66","11,815.87","11,393.34","","3.25%"
