"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2020","3,666.07","3,611.50","3,673.92","3,611.50","","1.51%"
"02/10/2020","3,611.50","3,626.37","3,630.27","3,603.84","","-0.41%"
"02/07/2020","3,626.37","3,600.71","3,627.85","3,580.43","","0.71%"
"02/06/2020","3,600.71","3,576.56","3,634.12","3,576.29","","0.68%"
"02/05/2020","3,576.56","3,558.36","3,600.14","3,540.84","","0.51%"
"02/04/2020","3,558.36","3,505.61","3,571.34","3,505.61","","1.50%"
"02/03/2020","3,505.61","3,490.67","3,527.19","3,484.31","","0.43%"
"01/31/2020","3,490.67","3,564.44","3,566.57","3,481.77","","-2.07%"
"01/30/2020","3,564.44","3,577.30","3,582.83","3,535.77","","-0.36%"
"01/29/2020","3,577.30","3,580.67","3,613.59","3,569.84","","-0.09%"
"01/28/2020","3,580.67","3,538.50","3,592.31","3,529.47","","1.19%"
"01/27/2020","3,538.50","3,645.63","3,646.52","3,527.90","","-2.94%"
"01/24/2020","3,645.63","3,602.11","3,691.52","3,602.11","","1.21%"
"01/23/2020","3,602.11","3,654.74","3,667.39","3,598.89","","-1.44%"
"01/22/2020","3,654.74","3,677.55","3,687.19","3,645.94","","-0.62%"
"01/21/2020","3,677.55","3,697.48","3,697.48","3,634.53","","-0.54%"
"01/20/2020","3,697.48","3,713.56","3,723.66","3,692.16","","-0.43%"
"01/17/2020","3,713.56","3,698.90","3,731.52","3,698.90","","0.40%"
"01/16/2020","3,698.90","3,702.30","3,714.90","3,673.77","","-0.09%"
"01/15/2020","3,702.30","3,732.72","3,734.32","3,691.07","","-0.81%"
"01/14/2020","3,732.72","3,736.28","3,746.54","3,714.55","","-0.10%"
"01/13/2020","3,736.28","3,732.40","3,757.78","3,717.01","","0.10%"
"01/10/2020","3,732.40","3,769.44","3,771.82","3,728.72","","-0.98%"
"01/09/2020","3,769.44","3,752.12","3,789.25","3,752.12","","0.46%"
"01/08/2020","3,752.12","3,767.89","3,767.89","3,716.32","","-0.42%"
"01/07/2020","3,767.89","3,771.78","3,792.32","3,763.50","","-0.10%"
"01/06/2020","3,771.78","3,812.91","3,812.91","3,729.84","","-1.08%"
"01/03/2020","3,812.91","3,833.48","3,833.48","3,769.70","","-0.54%"
"01/02/2020","3,833.48","3,785.27","3,845.30","3,773.52","","1.27%"
"12/31/2019","3,785.27","3,812.90","3,812.90","3,773.01","","-0.72%"
"12/30/2019","3,812.90","3,825.12","3,834.80","3,810.58","","-0.32%"
"12/27/2019","3,825.12","3,831.44","3,850.94","3,818.38","","-0.16%"
"12/24/2019","3,831.44","3,812.21","3,838.67","3,811.27","","0.50%"
"12/23/2019","3,812.21","3,813.67","3,816.99","3,777.17","","-0.04%"
"12/20/2019","3,813.67","3,856.58","3,856.74","3,810.00","","-1.11%"
"12/19/2019","3,856.58","3,850.61","3,856.58","3,828.68","","0.16%"
"12/18/2019","3,850.61","3,840.36","3,857.87","3,828.00","","0.27%"
"12/17/2019","3,840.36","3,879.72","3,879.72","3,823.14","","-1.01%"
"12/16/2019","3,879.72","3,768.60","3,897.25","3,768.60","","2.95%"
"12/13/2019","3,768.60","3,689.31","3,866.06","3,682.66","","2.15%"
"12/12/2019","3,689.31","3,607.69","3,704.07","3,607.11","","2.26%"
"12/11/2019","3,607.69","3,612.08","3,637.13","3,606.56","","-0.12%"
"12/10/2019","3,612.08","3,626.05","3,627.91","3,565.64","","-0.39%"
"12/09/2019","3,626.05","3,613.57","3,647.97","3,605.14","","0.35%"
"12/06/2019","3,613.57","3,558.28","3,622.04","3,558.28","","1.55%"
"12/05/2019","3,558.28","3,582.79","3,585.60","3,553.30","","-0.68%"
"12/04/2019","3,582.79","3,550.33","3,590.27","3,546.32","","0.91%"
"12/03/2019","3,550.33","3,622.26","3,632.20","3,537.47","","-1.99%"
"12/02/2019","3,622.26","3,671.90","3,693.84","3,620.60","","-1.35%"
"11/29/2019","3,671.90","3,715.04","3,715.04","3,668.06","","-1.16%"
"11/28/2019","3,715.04","3,714.89","3,719.81","3,693.37","","0.00%"
"11/27/2019","3,714.89","3,693.17","3,725.38","3,692.78","","0.59%"
"11/26/2019","3,693.17","3,687.45","3,702.70","3,674.36","","0.16%"
"11/25/2019","3,687.45","3,648.13","3,693.93","3,647.61","","1.08%"
"11/22/2019","3,648.13","3,590.80","3,662.48","3,590.80","","1.60%"
"11/21/2019","3,590.80","3,626.01","3,626.01","3,572.91","","-0.97%"
"11/20/2019","3,626.01","3,652.63","3,652.63","3,597.47","","-0.73%"
"11/19/2019","3,652.63","3,638.01","3,700.59","3,638.01","","0.40%"
"11/18/2019","3,638.01","3,631.19","3,668.85","3,624.46","","0.19%"
"11/15/2019","3,631.19","3,609.81","3,631.51","3,575.12","","0.59%"
"11/14/2019","3,609.81","3,638.41","3,644.03","3,609.81","","-0.79%"
"11/13/2019","3,638.41","3,695.05","3,695.05","3,608.92","","-1.53%"
"11/12/2019","3,695.05","3,671.12","3,702.23","3,659.49","","0.65%"
"11/11/2019","3,671.12","3,659.26","3,676.55","3,585.20","","0.32%"
"11/08/2019","3,659.26","3,703.27","3,705.28","3,659.26","","-1.19%"
"11/07/2019","3,703.27","3,690.88","3,713.75","3,690.02","","0.34%"
"11/06/2019","3,690.88","3,702.12","3,717.90","3,672.78","","-0.30%"
"11/05/2019","3,702.12","3,680.37","3,710.44","3,679.70","","0.59%"
"11/04/2019","3,680.37","3,640.29","3,698.90","3,640.29","","1.10%"
"11/01/2019","3,640.29","3,612.76","3,640.29","3,594.19","","0.76%"
"10/31/2019","3,612.76","3,646.43","3,646.58","3,590.07","","-0.92%"
"10/30/2019","3,646.43","3,660.38","3,676.48","3,623.87","","-0.38%"
"10/29/2019","3,660.38","3,688.81","3,688.81","3,639.24","","-0.77%"
"10/28/2019","3,688.81","3,779.63","3,779.63","3,670.43","","-2.40%"
"10/25/2019","3,779.63","3,771.48","3,786.33","3,731.89","","0.22%"
"10/24/2019","3,771.48","3,752.68","3,779.36","3,733.75","","0.50%"
"10/23/2019","3,752.68","3,754.82","3,755.73","3,714.79","","-0.06%"
"10/22/2019","3,754.82","3,741.39","3,767.35","3,733.08","","0.36%"
"10/21/2019","3,741.39","3,703.78","3,753.80","3,698.93","","1.02%"
"10/18/2019","3,703.78","3,725.07","3,733.13","3,683.12","","-0.57%"
"10/17/2019","3,725.07","3,714.98","3,795.19","3,696.08","","0.27%"
"10/16/2019","3,714.98","3,718.09","3,742.59","3,667.35","","-0.08%"
"10/15/2019","3,718.09","3,654.87","3,746.23","3,640.09","","1.73%"
"10/14/2019","3,654.87","3,682.20","3,682.20","3,622.33","","-0.74%"
"10/11/2019","3,682.20","3,517.57","3,700.58","3,517.57","","4.68%"
